id,name,sex,type,term_of_office,prior_role,after_role,party,medium_type,cabinet,medium,ministry
gs,Georg Streiter,1,1,2011 bis 2018,"2,3","3,6",NA,2,1,"Bonner Rundschau, Bild, Stern",Bundeskanzleramt
cwi,Christiane Wirtz,2,1,2014 bis 2016,"2,6","2,5",NA,2,1,"SZ, Deutschlandfunk",Bundeskanzleramt
jf,Jens Flosdorff,1,1,2017 bis 2021,4,6,NA,NA,1,NA,Bundesministerium für Verteidigung
bn,Boris Nannt,1,1,2017 bis 2021,5,5,NA,NA,1,NA,Bundesministerium für Verteidigung
cb,Christofer Burger,1,1,2018 bis 2023,"3,6","3,6",NA,NA,1,NA,Bundesministerium für Äußeres
bg,Björn Grünwalder,1,1,2019 bis 2023,"3,6",6,NA,NA,1,NA,Bundesministerium für Inneres
dg,Daniel Greve,1,1,2017 bis 2021,6,6,CDU,NA,1,NA,Bundesministerium für Wirtschaft
ju,Jens Urban,1,1,2015 bis 2018; 2020-2021,"2,6",3,NA,NA,1,"Radio Charivari 98,6",Bundesministerium für Landwirtschaft
jg,Jan Grossarth,1,1,2019 bis 2020,"2,3","5,2",NA,2,1,"FAZ, SZ",Bundesministerium für Landwirtschaft
ka,Katja Angeli,2,1,2016 bis 2018,6,6,NA,NA,1,NA,Bundesministerium für Gesundheit
tj,Thomas Jäger,1,1,2017 bis 2021,6,6,NA,NA,1,NA,Bundesministerium für Bildung
shi,Sebastian Hille,1,1,2016 bis 2017,"2,4,6",6,CSU,2,"1,2",Das Parlament,Bundesministerium für Verkehr und Digitales; Bundeskanzleramt
dp,Das Parlament,NA,3,NA,NA,NA,NA,2,NA,NA,NA
dlf,Deutschlandfunk,NA,3,NA,NA,NA,NA,2,NA,NA,NA
ste,Stern,NA,3,NA,NA,NA,NA,2,NA,NA,NA
dmr,DuMont Redaktion,NA,3,NA,NA,NA,NA,2,NA,NA,NA
dbwv,Deutscher Bundeswehrverband,NA,3,NA,NA,NA,NA,2,NA,NA,NA
dwe,Deutsche Welle,NA,3,NA,NA,NA,NA,2,NA,NA,NA
ntv,n-tv,NA,3,NA,NA,NA,NA,2,NA,NA,NA
